Region,Date,Sex,Age,Deaths
Midwest,2021-02-27,m,TOT,55642
Midwest,2021-03-06,b,0,7
Midwest,2021-03-06,b,1,3
Midwest,2021-03-06,b,15,121
Midwest,2021-03-06,b,25,453
Midwest,2021-03-06,b,35,1156
Midwest,2021-03-06,b,45,3475
Midwest,2021-03-06,b,5,14
Midwest,2021-03-06,b,55,10052
Midwest,2021-03-06,b,65,21353
Midwest,2021-03-06,b,75,30664
Midwest,2021-03-06,b,85,39403
Midwest,2021-03-06,b,TOT,106697
Midwest,2021-03-06,f,0,5
Midwest,2021-03-06,f,1,2
Midwest,2021-03-06,f,15,56
Midwest,2021-03-06,f,25,179
Midwest,2021-03-06,f,35,415
Midwest,2021-03-06,f,45,1218
Midwest,2021-03-06,f,5,5
Midwest,2021-03-06,f,55,3711
Midwest,2021-03-06,f,65,8297
Midwest,2021-03-06,f,75,13345
Midwest,2021-03-06,f,85,22871
Midwest,2021-03-06,f,TOT,50097
Midwest,2021-03-06,m,0,3
Midwest,2021-03-06,m,1,2
Midwest,2021-03-06,m,15,68
Midwest,2021-03-06,m,25,275
Midwest,2021-03-06,m,35,747
Midwest,2021-03-06,m,45,2257
Midwest,2021-03-06,m,5,4
Midwest,2021-03-06,m,55,6341
Midwest,2021-03-06,m,65,13056
Midwest,2021-03-06,m,75,17319
Midwest,2021-03-06,m,85,16532
Midwest,2021-03-06,m,TOT,56600
Midwest,2021-03-13,b,0,7
Midwest,2021-03-13,b,1,3
Midwest,2021-03-13,b,15,121
Midwest,2021-03-13,b,25,459
Midwest,2021-03-13,b,35,1180
Midwest,2021-03-13,b,45,3536
Midwest,2021-03-13,b,5,14
Midwest,2021-03-13,b,55,10212
Midwest,2021-03-13,b,65,21668
Midwest,2021-03-13,b,75,31009
Midwest,2021-03-13,b,85,39788
Midwest,2021-03-13,b,TOT,107994
Midwest,2021-03-13,f,0,5
Midwest,2021-03-13,f,1,2
Midwest,2021-03-13,f,15,59
Midwest,2021-03-13,f,25,180
Midwest,2021-03-13,f,35,425
Midwest,2021-03-13,f,45,1246
Midwest,2021-03-13,f,5,5
Midwest,2021-03-13,f,55,3773
Midwest,2021-03-13,f,65,8417
Midwest,2021-03-13,f,75,13490
Midwest,2021-03-13,f,85,23096
Midwest,2021-03-13,f,TOT,50691
Midwest,2021-03-13,m,0,3
Midwest,2021-03-13,m,1,2
Midwest,2021-03-13,m,15,68
Midwest,2021-03-13,m,25,283
Midwest,2021-03-13,m,35,756
Midwest,2021-03-13,m,45,2290
Midwest,2021-03-13,m,5,4
Midwest,2021-03-13,m,55,6439
Midwest,2021-03-13,m,65,13251
Midwest,2021-03-13,m,75,17519
Midwest,2021-03-13,m,85,16692
Midwest,2021-03-13,m,TOT,57303
Midwest,2021-03-20,b,0,9
Midwest,2021-03-20,b,1,3
Midwest,2021-03-20,b,15,121
Midwest,2021-03-20,b,25,471
Midwest,2021-03-20,b,35,1194
Midwest,2021-03-20,b,45,3592
Midwest,2021-03-20,b,5,14
Midwest,2021-03-20,b,55,10333
Midwest,2021-03-20,b,65,21956
Midwest,2021-03-20,b,75,31332
Midwest,2021-03-20,b,85,40117
Midwest,2021-03-20,b,TOT,109139
Midwest,2021-03-20,f,0,5
Midwest,2021-03-20,f,1,2
Midwest,2021-03-20,f,15,61
Midwest,2021-03-20,f,25,185
Midwest,2021-03-20,f,35,430
Midwest,2021-03-20,f,45,1269
Midwest,2021-03-20,f,5,5
Midwest,2021-03-20,f,55,3815
Midwest,2021-03-20,f,65,8547
Midwest,2021-03-20,f,75,13631
Midwest,2021-03-20,f,85,23273
Midwest,2021-03-20,f,TOT,51216
Midwest,2021-03-20,m,0,3
Midwest,2021-03-20,m,1,2
Midwest,2021-03-20,m,15,68
Midwest,2021-03-20,m,25,290
Midwest,2021-03-20,m,35,765
Midwest,2021-03-20,m,45,2323
Midwest,2021-03-20,m,5,4
Midwest,2021-03-20,m,55,6518
Midwest,2021-03-20,m,65,13409
Midwest,2021-03-20,m,75,17701
Midwest,2021-03-20,m,85,16844
Midwest,2021-03-20,m,TOT,57923
Midwest,2021-03-27,b,0,9
Midwest,2021-03-27,b,1,3
Midwest,2021-03-27,b,15,126
Midwest,2021-03-27,b,25,475
Midwest,2021-03-27,b,35,1214
Midwest,2021-03-27,b,45,3642
Midwest,2021-03-27,b,5,14
Midwest,2021-03-27,b,55,10450
Midwest,2021-03-27,b,65,22204
Midwest,2021-03-27,b,75,31595
Midwest,2021-03-27,b,85,40353
Midwest,2021-03-27,b,TOT,110082
Midwest,2021-03-27,f,0,5
Midwest,2021-03-27,f,1,2
Midwest,2021-03-27,f,15,63
Midwest,2021-03-27,f,25,187
Midwest,2021-03-27,f,35,439
Midwest,2021-03-27,f,45,1284
Midwest,2021-03-27,f,5,5
Midwest,2021-03-27,f,55,3859
Midwest,2021-03-27,f,65,8643
Midwest,2021-03-27,f,75,13750
Midwest,2021-03-27,f,85,23401
Midwest,2021-03-27,f,TOT,51631
Midwest,2021-03-27,m,0,3
Midwest,2021-03-27,m,1,2
Midwest,2021-03-27,m,15,70
Midwest,2021-03-27,m,25,293
Midwest,2021-03-27,m,35,776
Midwest,2021-03-27,m,45,2358
Midwest,2021-03-27,m,5,4
Midwest,2021-03-27,m,55,6591
Midwest,2021-03-27,m,65,13561
Midwest,2021-03-27,m,75,17845
Midwest,2021-03-27,m,85,16952
Midwest,2021-03-27,m,TOT,58451
Midwest,2021-04-03,b,0,9
Midwest,2021-04-03,b,1,3
Midwest,2021-04-03,b,15,127
Midwest,2021-04-03,b,25,480
Midwest,2021-04-03,b,35,1230
Midwest,2021-04-03,b,45,3675
Midwest,2021-04-03,b,5,15
Midwest,2021-04-03,b,55,10536
Midwest,2021-04-03,b,65,22365
Midwest,2021-04-03,b,75,31755
Midwest,2021-04-03,b,85,40499
Midwest,2021-04-03,b,TOT,110691
Midwest,2021-04-03,f,0,5
Midwest,2021-04-03,f,1,2
Midwest,2021-04-03,f,15,62
Midwest,2021-04-03,f,25,190
Midwest,2021-04-03,f,35,447
Midwest,2021-04-03,f,45,1295
Midwest,2021-04-03,f,5,5
Midwest,2021-04-03,f,55,3891
Midwest,2021-04-03,f,65,8711
Midwest,2021-04-03,f,75,13817
Midwest,2021-04-03,f,85,23470
Midwest,2021-04-03,f,TOT,51889
Midwest,2021-04-03,m,0,3
Midwest,2021-04-03,m,1,2
Midwest,2021-04-03,m,15,71
Midwest,2021-04-03,m,25,295
Midwest,2021-04-03,m,35,784
Midwest,2021-04-03,m,45,2380
Midwest,2021-04-03,m,5,5
Midwest,2021-04-03,m,55,6645
Midwest,2021-04-03,m,65,13654
Midwest,2021-04-03,m,75,17938
Midwest,2021-04-03,m,85,17029
Midwest,2021-04-03,m,TOT,58802
Midwest,2021-04-10,b,0,9
Midwest,2021-04-10,b,1,3
Midwest,2021-04-10,b,15,127
