Country,State,Date,Sex,Age,Deaths
USA,Hawaii,2020-09-26,m,55,15
USA,Hawaii,2020-09-26,m,65,22
USA,Hawaii,2020-09-26,m,75,21
USA,Hawaii,2020-09-26,m,85,30
USA,Hawaii,2020-09-26,m,TOT,95
USA,Idaho,2020-09-26,b,TOT,471
USA,Idaho,2020-09-26,f,0,0
USA,Idaho,2020-09-26,f,1,0
USA,Idaho,2020-09-26,f,5,0
USA,Idaho,2020-09-26,f,15,0
USA,Idaho,2020-09-26,f,25,0
USA,Idaho,2020-09-26,f,35,2
USA,Idaho,2020-09-26,f,45,6
USA,Idaho,2020-09-26,f,55,14
USA,Idaho,2020-09-26,f,65,39
USA,Idaho,2020-09-26,f,75,48
USA,Idaho,2020-09-26,f,85,99
USA,Idaho,2020-09-26,f,TOT,208
USA,Idaho,2020-09-26,m,0,0
USA,Idaho,2020-09-26,m,1,0
USA,Idaho,2020-09-26,m,5,0
USA,Idaho,2020-09-26,m,15,0
USA,Idaho,2020-09-26,m,25,0
USA,Idaho,2020-09-26,m,35,3
USA,Idaho,2020-09-26,m,45,9
USA,Idaho,2020-09-26,m,55,21
USA,Idaho,2020-09-26,m,65,51
USA,Idaho,2020-09-26,m,75,94
USA,Idaho,2020-09-26,m,85,85
USA,Idaho,2020-09-26,m,TOT,263
USA,Illinois,2020-09-26,b,TOT,7791
USA,Illinois,2020-09-26,f,0,1
USA,Illinois,2020-09-26,f,1,0
USA,Illinois,2020-09-26,f,5,0
USA,Illinois,2020-09-26,f,15,9
USA,Illinois,2020-09-26,f,25,22
USA,Illinois,2020-09-26,f,35,54
USA,Illinois,2020-09-26,f,45,129
USA,Illinois,2020-09-26,f,55,340
USA,Illinois,2020-09-26,f,65,601
USA,Illinois,2020-09-26,f,75,863
USA,Illinois,2020-09-26,f,85,1517
USA,Illinois,2020-09-26,f,TOT,3535
USA,Illinois,2020-09-26,m,0,1
USA,Illinois,2020-09-26,m,1,0
USA,Illinois,2020-09-26,m,5,1
USA,Illinois,2020-09-26,m,15,10
USA,Illinois,2020-09-26,m,25,45
USA,Illinois,2020-09-26,m,35,133
USA,Illinois,2020-09-26,m,45,319
USA,Illinois,2020-09-26,m,55,638
USA,Illinois,2020-09-26,m,65,1074
USA,Illinois,2020-09-26,m,75,1111
USA,Illinois,2020-09-26,m,85,924
USA,Illinois,2020-09-26,m,TOT,4256
USA,Indiana,2020-09-26,b,TOT,3569
USA,Indiana,2020-09-26,f,0,0
USA,Indiana,2020-09-26,f,1,0
USA,Indiana,2020-09-26,f,5,0
USA,Indiana,2020-09-26,f,15,1
USA,Indiana,2020-09-26,f,25,4
USA,Indiana,2020-09-26,f,35,17
USA,Indiana,2020-09-26,f,45,46
USA,Indiana,2020-09-26,f,55,127
USA,Indiana,2020-09-26,f,65,292
USA,Indiana,2020-09-26,f,75,505
USA,Indiana,2020-09-26,f,85,764
USA,Indiana,2020-09-26,f,TOT,1756
USA,Indiana,2020-09-26,m,0,0
USA,Indiana,2020-09-26,m,1,1
USA,Indiana,2020-09-26,m,5,0
USA,Indiana,2020-09-26,m,15,2
USA,Indiana,2020-09-26,m,25,10
USA,Indiana,2020-09-26,m,35,19
USA,Indiana,2020-09-26,m,45,65
USA,Indiana,2020-09-26,m,55,215
USA,Indiana,2020-09-26,m,65,482
USA,Indiana,2020-09-26,m,75,522
USA,Indiana,2020-09-26,m,85,498
USA,Indiana,2020-09-26,m,TOT,1813
USA,Iowa,2020-09-26,b,TOT,1308
USA,Iowa,2020-09-26,f,0,1
USA,Iowa,2020-09-26,f,1,1
USA,Iowa,2020-09-26,f,5,0
USA,Iowa,2020-09-26,f,15,1
USA,Iowa,2020-09-26,f,25,4
USA,Iowa,2020-09-26,f,35,9
USA,Iowa,2020-09-26,f,45,15
USA,Iowa,2020-09-26,f,55,66
USA,Iowa,2020-09-26,f,65,103
USA,Iowa,2020-09-26,f,75,151
USA,Iowa,2020-09-26,f,85,276
USA,Iowa,2020-09-26,f,TOT,625
USA,Iowa,2020-09-26,m,0,0
USA,Iowa,2020-09-26,m,1,0
