Region,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Midwest,t,85,2020-07-15,7605.201802256034,7991.806412328261,8389.56408940732,667459.7857940996
Midwest,t,85,2020-08-15,9387.816579205959,9892.635755913052,10290.393432992112,801275.3266779608
Midwest,t,85,2020-09-15,10419.519884925377,11225.231125087415,11622.988802166476,935195.859669826
Midwest,t,85,2020-10-15,14080.739786854223,14886.451027016263,15284.208704095321,1069220.0169795053
Midwest,t,85,2020-11-15,22064.146932237938,22869.858172399978,23267.615849479036,1203346.6300919128
Midwest,t,85,2020-12-15,31773.983065944587,32579.694306106627,32977.45198318569,1337574.7297670676
Midwest,t,85,2021-01-15,35444.222099179,36325.30464115498,36754.98518357641,1471903.546040092
Midwest,t,85,2021-02-15,35444.222099179,34150.29072503399,36754.98518357641,1606332.508221213
Midwest,t,85,2021-03-15,35444.222099179,31809.5271137783,36754.98518357641,1740861.2448957618
Midwest,t,85,2021-04-15,35444.222099179,29752.292126717537,36754.98518357641,1875489.5839241738
Northeast,f,0,2020-03-15,64.61145325828085,65.02367779071047,73.79769455832768,1180535.7426108979
Northeast,f,0,2020-04-15,247.32559126009002,256.18437028685133,272.95871745739754,2360874.120667104
Northeast,f,0,2020-05-15,273.93095087932716,314.48129888136106,339.2823198468793,3541008.60859387
Northeast,f,0,2020-06-15,311.2011277478345,363.9134474431299,413.5477914667313,4720933.168913871
Northeast,f,0,2020-07-15,350.75101934415005,437.47956385162877,487.3733094342506,5900642.252247205
Northeast,f,0,2020-08-15,393.12098542906836,443.1781211844791,535.1090402951181,7080130.858890104
Northeast,f,0,2020-09-15,446.0386856211643,463.0071595272852,591.6256817509139,8259394.785129771
Northeast,f,0,2020-10-15,446.0386856211643,487.96425163337057,642.0840039763599,9438430.68482309
Northeast,f,0,2020-11-15,446.0386856211643,504.04650928576245,695.9200674281124,10617236.069396626
Northeast,f,0,2020-12-15,458.0074669644388,547.2505896145354,757.013592401545,11795809.307846624
Northeast,f,0,2021-01-15,574.7868926764273,680.572701369763,897.1225974344862,12974149.626739014
Northeast,f,0,2021-02-15,583.8455768779748,735.0086111503159,967.0471584368665,14152257.110209402
Northeast,f,0,2021-03-15,631.0150606059095,815.5536495887604,1052.0840374287434,15330132.699963076
Northeast,f,0,2021-04-15,631.0150606059095,871.2027174925963,1113.561836952797,16507778.195275007
Northeast,f,40,2020-03-15,529.7358031434222,587.0317216600283,587.0317216600283,780028.7221728151
Northeast,f,40,2020-04-15,3132.7401304339187,3191.254943713386,3191.668868100192,1569268.7879451604
Northeast,f,40,2020-05-15,4039.208443537669,4114.041322018481,4114.455246405287,2358164.5732010906
Northeast,f,40,2020-06-15,4242.565645510528,4354.601607537287,4360.724659203676,3118055.867885906
Northeast,f,40,2020-07-15,4559.226981811095,4733.197262374205,4755.714794715466,3925403.4143545404
Northeast,f,40,2020-08-15,4744.9598084783265,5019.228260298779,5042.108158803908,4713318.920232822
Northeast,f,40,2020-09-15,5051.0959611376875,5355.284602141219,5384.72859255467,5500925.832020388
Northeast,f,40,2020-10-15,5204.564175468858,5573.3212465900115,5611.052802965992,6230925.913495431
Northeast,f,40,2020-11-15,5554.598511075816,5995.15317780428,6034.513069405356,7008389.557262817
Northeast,f,40,2020-12-15,6463.14522959982,6927.236273642432,6967.8727269288465,7842859.377473794
Northeast,f,40,2021-01-15,7362.6288291825695,7829.124875861471,7869.917583482528,8629272.233882578
Northeast,f,40,2021-02-15,7778.428767397235,8258.086864401877,8314.14224292362,9415385.736861195
Northeast,f,40,2021-03-15,8306.43987508766,8823.137108754097,8879.19248727584,10201195.182642857
Northeast,f,40,2021-04-15,8625.480419917589,9268.869278152542,9334.047884110607,10986693.683494477
Northeast,f,65,2020-03-15,551.7047537601361,607.9059276612775,619.0605103544397,248635.7553450947
Northeast,f,65,2020-04-15,4177.864750361086,4245.615364890055,4256.769947583217,497909.4866439623
Northeast,f,65,2020-05-15,5390.509447151669,5478.1317803177,5489.286363010861,747819.153900366
Northeast,f,65,2020-06-15,5539.766536589452,5733.6926911058345,5750.948395284189,998360.9873223777
Northeast,f,65,2020-07-15,5634.017133438184,5936.797461239944,5976.075929323801,1249529.4873223787
Northeast,f,65,2020-08-15,5821.99268232598,6173.941956646051,6220.953981065548,1501317.3222492319
Northeast,f,65,2020-09-15,5899.138553795705,6366.752083745099,6424.737557839543,1753714.9193169803
Northeast,f,65,2020-10-15,6200.546506251951,6728.283927694163,6802.975398319172,2006710.3623370186
Northeast,f,65,2020-11-15,6664.676513723401,7269.311209744507,7348.12100691933,2260289.3917180956
Northeast,f,65,2020-12-15,7997.4355182440295,8612.319676412171,8691.129473586994,2514435.404466312
Northeast,f,65,2021-01-15,9385.539748095516,10021.107379904362,10106.1606350355,2769129.454185121
Northeast,f,65,2021-02-15,9786.293929379965,10556.249909778431,10651.428734039704,3024350.2510753307
Northeast,f,65,2021-03-15,10276.790019851465,11052.474771481851,11162.204400354072,3280074.1619350994
Northeast,f,65,2021-04-15,10613.968250861937,11431.609032006496,11553.96440995596,3536275.2101599406
Northeast,f,75,2020-03-15,907.8540616691712,911.5408156840286,935.6323419359704,140722.46279627446
Northeast,f,75,2020-04-15,6914.404377412972,6901.543709241103,6942.182657679771,281673.823049499
