State,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Louisiana,t,40,2020-10-15,2063.0709404657373,2063.0709404657373,2063.0709404657373,957780.3734250315
Louisiana,t,40,2020-11-15,2253.1618110333543,2253.1618110333543,2253.1618110333543,1077391.9496652381
Louisiana,t,40,2020-12-15,2609.4274040897794,2609.4274040897794,2609.4274040897794,1196982.5782042283
Louisiana,t,40,2021-01-15,3052.3703321998305,3052.3703321998305,3052.3703321998305,1316552.6723332515
Louisiana,t,40,2021-02-15,3197.8369832098606,3197.8369832098606,3197.8369832098606,1436102.3703414365
Louisiana,t,40,2021-03-15,3376.1421636084306,3376.1421636084306,3376.1421636084306,1555631.5355157896
Louisiana,t,40,2021-04-15,3376.1421636084306,3408.0251069435503,3408.0251069435503,1675139.756141197
Louisiana,t,65,2020-03-15,154.06019871760384,154.06019871760384,154.06019871760384,36827.33670515428
Louisiana,t,65,2020-04-15,540.5058603093519,540.5058603093519,540.5058603093519,73767.14537466117
Louisiana,t,65,2020-05-15,744.6140621577031,744.6140621577031,744.6140621577031,110819.29422827091
Louisiana,t,65,2020-06-15,744.6140621577031,810.5546642178256,810.5546642178256,147983.43884880058
Louisiana,t,65,2020-07-15,1026.4352635844393,1092.3758656445616,1092.3758656445616,185259.02218213392
Louisiana,t,65,2020-08-15,1375.9048518939987,1441.8454539541212,1441.8454539541212,222645.24806278734
Louisiana,t,65,2020-09-15,1545.7317795292638,1611.6723815893863,1611.6723815893863,260140.97531617325
Louisiana,t,65,2020-10-15,1648.8167633682792,1714.7573654284015,1714.7573654284015,297744.69128416583
Louisiana,t,65,2020-11-15,1829.1763683537015,1895.1169704138242,1895.1169704138242,335454.5118251013
Louisiana,t,65,2020-12-15,2146.0368687590108,2211.9774708191335,2211.9774708191335,373268.18131377746
Louisiana,t,65,2021-01-15,2593.5498327764776,2659.4904348366,2659.4904348366,411183.07264145423
Louisiana,t,65,2021-02-15,2769.917600169335,2835.8582022294577,2835.8582022294577,449196.1872158532
