Country,Region,Date,Sex,Age,AgeInt,Metric,Measure,Value
USA,Nebraska,2020-11-07,f,TOT,NA,Count,Deaths,341
USA,Nebraska,2020-11-07,m,0,1,Count,Deaths,0
USA,Nebraska,2020-11-07,m,1,4,Count,Deaths,0
USA,Nebraska,2020-11-07,m,5,10,Count,Deaths,1
USA,Nebraska,2020-11-07,m,15,10,Count,Deaths,1
USA,Nebraska,2020-11-07,m,25,10,Count,Deaths,4
USA,Nebraska,2020-11-07,m,35,10,Count,Deaths,12
USA,Nebraska,2020-11-07,m,45,10,Count,Deaths,26
USA,Nebraska,2020-11-07,m,55,10,Count,Deaths,54
USA,Nebraska,2020-11-07,m,65,10,Count,Deaths,113
USA,Nebraska,2020-11-07,m,75,10,Count,Deaths,129
USA,Nebraska,2020-11-07,m,85,20,Count,Deaths,103
USA,Nebraska,2020-11-07,m,TOT,NA,Count,Deaths,442
USA,Nevada,2020-11-07,b,TOT,NA,Count,Deaths,1711
USA,Nevada,2020-11-07,f,0,1,Count,Deaths,0
USA,Nevada,2020-11-07,f,1,4,Count,Deaths,0
USA,Nevada,2020-11-07,f,5,10,Count,Deaths,0
USA,Nevada,2020-11-07,f,15,10,Count,Deaths,1
USA,Nevada,2020-11-07,f,25,10,Count,Deaths,6
USA,Nevada,2020-11-07,f,35,10,Count,Deaths,13
USA,Nevada,2020-11-07,f,45,10,Count,Deaths,32
USA,Nevada,2020-11-07,f,55,10,Count,Deaths,84
USA,Nevada,2020-11-07,f,65,10,Count,Deaths,172
USA,Nevada,2020-11-07,f,75,10,Count,Deaths,186
USA,Nevada,2020-11-07,f,85,20,Count,Deaths,149
USA,Nevada,2020-11-07,f,TOT,NA,Count,Deaths,643
USA,Nevada,2020-11-07,m,0,1,Count,Deaths,0
USA,Nevada,2020-11-07,m,1,4,Count,Deaths,0
USA,Nevada,2020-11-07,m,5,10,Count,Deaths,1
USA,Nevada,2020-11-07,m,15,10,Count,Deaths,2
USA,Nevada,2020-11-07,m,25,10,Count,Deaths,7
USA,Nevada,2020-11-07,m,35,10,Count,Deaths,39
